epoch,train_loss,val_loss,lr
0.0,0.6944301128387451,0.4838884472846985,0.001
1.0,0.7072368264198303,0.7043769359588623,0.001
2.0,0.6930098533630371,0.31152111291885376,0.001
3.0,0.6828594207763672,0.6084712743759155,0.001
4.0,0.6766877770423889,0.2256404608488083,0.001
5.0,0.673932671546936,0.6305122971534729,0.001
6.0,0.6652373671531677,0.48400720953941345,0.001
7.0,0.6600222587585449,0.39309126138687134,0.001
8.0,0.6523773670196533,0.607322096824646,0.001
9.0,0.6523714065551758,0.9563902616500854,0.001
10.0,0.6378071904182434,0.3190616965293884,0.001
11.0,0.6415196061134338,0.95467209815979,0.001
12.0,0.6361179351806641,0.7153383493423462,0.001
13.0,0.6243209838867188,0.5666369795799255,0.001
14.0,0.6152074933052063,0.569271981716156,0.0005
